
Beginning new grid search
 -------------------------

[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 50, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 60, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 70, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 80, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 90, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 100, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 121, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 141, 3], [96.08393410116894, 71.53045535087585]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 50, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 60, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 70, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 80, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 90, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 100, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 121, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 141, 6], [95.52641517776117, 68.8181459903717]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 50, 9], [95.23198285238652, 67.48461723327637]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 60, 9], [95.23198285238652, 67.48461723327637]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 70, 9], [95.23198285238652, 67.48461723327637]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 80, 9], [95.23198285238652, 67.48461723327637]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 90, 9], [95.23198285238652, 67.48461723327637]]
[p_xy,p_w,bi_w,bi_xy,bi_rgb]		[[1, 1, 4, 100, 9], [95.23198285238652, 67.48461723327637]]
